peyok = penyok
kriangat = keringat
bs = bisa
nongki = nongkrong
n = dan
kl = kalau
 wkwkwk = haha
emg = emang
jt = juta
taon = tahun
seh = sih
ndasmu = kepalamu
dpt = dapet
dlm = dalam
hrg = harga
kyk = seperti
 kao = kamu
nyaaaaa = nya
yaelaahhh = ya ampun
kayaaaa = kaya
bg = bang
cm = hanya
sama2  = sama-sama
lbh = lebih
kere = miskin
jls  = jelas
ajg = bodoh
dihitung2  = di hitung-hitung
memeek..= umpatan
klw = kalau
paham2 = paham-paham
ayo2  = ayo-ayo
pantat = umpatan
tololll = umpatan
ttp = tetap
tmbah = tambah
tolol = umpatan
org  = orang
"anjing!!!!  = umpatan
"
taeekk = umpatan
wkwkkwkwk asyuuu = umpatan
misk*n = miskin
mbl = mobil
mobkas = mobil bekas
mokas = mobil bekas
 loe = kamu
anjirlah = umpatan
preeeet = umpatan
Bro = Saudara laki-laki / Teman laki-laki
Lbuh = Lebih
Walo = Walaupun
Mobkas = Mobil bekas
Yg = Yang
Klo = Kalau
Ngabisin = Menghabiskan
Nyusahin = Menyusahkan
Nitip sendal dimari = Numpang lewat / Ikut nimbrung
Th = Tahun
Udah = Sudah
Ngga = Tidak / Enggak
Duit = Uang
Min = Admin
Btw = Ngomong-ngomong (dari By the way)
Pdahal = Padahal
Ntah = Entah
Eh = (Interjeksi)
Emg = Memang
Udh = Sudah
Taxol = Taksi online
Gini= Begini
Gk = Tidak / Enggak
Eak = (Ekspresi kekaguman/persetujuan)
Pr = Masalah / Perbaikan (dari Pekerjaan Rumah)
No rewel = Tidak rewel / Tidak banyak masalah
Jtan = Jutaan
Pkek = Pakai
Dalkot = Dalam kota
Bgt = Banget
Dgn = Dengan
Krn = Karena
Nggak diirit2in = Tidak dihemat-hemat
Jgn = Jangan
Ngeden = (Mesin) bekerja keras tapi tenaga kurang
Cc = Kapasitas mesin (dari Cubic Centimeter)
Pdhl = Padahal
Msh = Masih 
Bini gua = Istri saya
Kali yaaa = Mungkin ya
Spresso = Suzuki S-Presso
No deba t= Tidak perlu diperdebatkan
Ngawur = Asal bicara / Tidak benar
Sakaw kecandua n= Sangat menyukai / Ketagihan
Yaris lele = Toyota Yaris (julukan model tertentu)
Bakpao = Toyota Yaris / Innova (julukan model tertentu)
gak = tidak
gue = saya
bokap = ayah
tu = itu
kw = KW (non-ori)
wkwk = (tawa)
motuba = mobil tua
brp = berapa
dll = dan lain-lain
tai kucing = (slang negatif)
kaga = tidak
aje = saja
taun = tahun
jajan = servis/repair
klo = kalau
kog = kok
wakakakka = (tawa)
sok2an = pura-pura
anjing = (slang negatif)
bner = benar
dikit = sedikit
psti = pasti
sndiri = sendiri
gapernah = tidak pernah
dah = sudah
blakangnya = belakangnya
agk = agak
dg = dengan
spek = spesifikasi
yg = yang
kalo = kalau
udh = sudah
kek = seperti
piara = pelihara
banget = sangat
dapet = dapat
kmana2 = kemana-mana
ngapain = untuk apa
trs = terus
mah = (partikel penekan)
nih = ini
sih = (partikel penekan)
deh = (partikel penekan)
kekinian = modern
dibandingin = dibandingkan
kalo = kalau
mah = (partikel)
nyaman = comfortable
yaaaa =  ya
dn =  dan
nya =  (dipertahankan atau dihapus tergantung konteks)
jok =  kursi
"om =  (opsional, bisa dibuang)"
mantap =  mantap
sih =  (bisa dibuang sebagai stopword)
lumayan =  cukup
mending =  lebih baik
infonya =  informasi
belum terbeli =  belum dibeli
udah =  sudah
gda =  tidak ada
nyungsep =  amblas / tenggelam
bacot =  omong kosong / bicara kasar
review =  ulasan
pake =  pakai
thn =  tahun
gigi =  gigi transmisi (kontekstual)
laku =  terjual
mantaff =  mantap
kekedapan =  kedap
rombeng =  jelek / rusak
menyimaksss =  menyimak
goyang =  tidak stabil
lu = kamu
lo = kamu
taksol = taksi online
gyrih = greget (semangat)
josss = bagus
ngek ngok = tersendat-sendat
boncos = bangkrut
boyot = berat/lambat
joss = bagus
sikembar = twin (mobil kembar)
nyiksa = menyiksa 
ciamik = bagus 
tekor = rugi 
glodakan = berguncang 
tengil = menyebalkan
calsig = calya+sigra
bjir = (ekspresi kaget)
rill = real
lebay = berlebihan
tetot = klakson
badak = tangguh
jedug = masalah transmisi
tahes = salam (khas komunitas Datsun)
baduy = medan ekstrem (referensi jalur Lebak)
bimbng = bingung
lempeng = lurus/tanpa masalah
gemvel = gembel
wirittt = sangat irit 
"cepek = Rp100,000 (uang)"
"kriting = berisik (dari bunyi ""krit-krit"")"
dashborn = dashboard
gocippppp = sangat cepat (onomatopoeia)
ngempas ngempis = penjualan tidak stabil
alus = halus/lembut
gredek = suara kasar saat kopling
ampas = sangat jelek
mantul = mantap betul
ghibahin = digosipkan/dihina
